S*_score	SNP_num	quantile	log(local_recomb_rate)
120236.071	25	0.5	-7.903089986991944
120660.976	25	0.505	-7.903089986991944
121407.96	25	0.51	-7.903089986991944
122390.45	25	0.515	-7.903089986991944
122869.9	25	0.52	-7.903089986991944
123949.14	25	0.525	-7.903089986991944
124387.543	25	0.53	-7.903089986991944
124764.475	25	0.535	-7.903089986991944
125075.269	25	0.54	-7.903089986991944
125973.25	25	0.545	-7.903089986991944
126867.375	25	0.55	-7.903089986991944
127783.648	25	0.555	-7.903089986991944
128049.657	25	0.56	-7.903089986991944
128355.762	25	0.565	-7.903089986991944
128568.669	25	0.57	-7.903089986991944
129433.242	25	0.575	-7.903089986991944
130155.486	25	0.58	-7.903089986991944
130468.114	25	0.585	-7.903089986991944
131207.743	25	0.59	-7.903089986991944
131881.386	25	0.595	-7.903089986991944
132430.286	25	0.6	-7.903089986991944
132832.99	25	0.605	-7.903089986991944
133531.195	25	0.61	-7.903089986991944
134037.627	25	0.615	-7.903089986991944
134734.343	25	0.62	-7.903089986991944
135284.74	25	0.625	-7.903089986991944
135790.271	25	0.63	-7.903089986991944
136140.708	25	0.635	-7.903089986991944
136569.826	25	0.64	-7.903089986991944
136959.85	25	0.645	-7.903089986991944
137157.0	25	0.65	-7.903089986991944
137541.2	25	0.655	-7.903089986991944
138042.09	25	0.66	-7.903089986991944
138561.316	25	0.665	-7.903089986991944
138853.893	25	0.67	-7.903089986991944
139668.657	25	0.675	-7.903089986991944
140107.943	25	0.68	-7.903089986991944
140465.314	25	0.685	-7.903089986991944
140835.676	25	0.69	-7.903089986991944
141818.267	25	0.695	-7.903089986991944
142491.0	25	0.7	-7.903089986991944
142947.164	25	0.705	-7.903089986991944
143520.843	25	0.71	-7.903089986991944
143948.348	25	0.715	-7.903089986991944
144964.041	25	0.72	-7.903089986991944
145602.25	25	0.725	-7.903089986991944
145811.823	25	0.73	-7.903089986991944
146361.85	25	0.735	-7.903089986991944
146753.4	25	0.74	-7.903089986991944
147156.76	25	0.745	-7.903089986991944
148007.114	25	0.75	-7.903089986991944
148892.391	25	0.755	-7.903089986991944
149533.371	25	0.76	-7.903089986991944
149933.7	25	0.765	-7.903089986991944
150109.6	25	0.77	-7.903089986991944
150768.5	25	0.775	-7.903089986991944
151044.713	25	0.78	-7.903089986991944
151553.072	25	0.785	-7.903089986991944
152580.606	25	0.79	-7.903089986991944
153498.526	25	0.795	-7.903089986991944
154629.618	25	0.8	-7.903089986991944
155248.847	25	0.805	-7.903089986991944
156014.162	25	0.81	-7.903089986991944
157941.925	25	0.815	-7.903089986991944
158398.413	25	0.82	-7.903089986991944
159129.625	25	0.825	-7.903089986991944
159542.35	25	0.83	-7.903089986991944
160153.902	25	0.835	-7.903089986991944
161027.37	25	0.84	-7.903089986991944
161533.3	25	0.845	-7.903089986991944
162387.882	25	0.85	-7.903089986991944
163223.821	25	0.855	-7.903089986991944
164107.0	25	0.86	-7.903089986991944
164767.541	25	0.865	-7.903089986991944
165093.4	25	0.87	-7.903089986991944
166362.938	25	0.875	-7.903089986991944
167395.1	25	0.88	-7.903089986991944
168115.652	25	0.885	-7.903089986991944
168431.516	25	0.89	-7.903089986991944
169574.0	25	0.895	-7.903089986991944
170812.304	25	0.9	-7.903089986991944
173299.687	25	0.905	-7.903089986991944
174094.452	25	0.91	-7.903089986991944
175486.3	25	0.915	-7.903089986991944
176138.514	25	0.92	-7.903089986991944
176955.75	25	0.925	-7.903089986991944
178263.25	25	0.93	-7.903089986991944
178805.717	25	0.935	-7.903089986991944
179656.127	25	0.94	-7.903089986991944
180314.446	25	0.945	-7.903089986991944
182296.464	25	0.95	-7.903089986991944
184073.2	25	0.955	-7.903089986991944
185312.457	25	0.96	-7.903089986991944
188153.279	25	0.965	-7.903089986991944
189961.5	25	0.97	-7.903089986991944
191426.25	25	0.975	-7.903089986991944
193753.282	25	0.98	-7.903089986991944
198375.861	25	0.985	-7.903089986991944
205574.314	25	0.99	-7.903089986991944
218225.314	25	0.995	-7.903089986991944
151552.05	50	0.5	-7.903089986991944
152022.192	50	0.505	-7.903089986991944
152247.78	50	0.51	-7.903089986991944
152595.357	50	0.515	-7.903089986991944
153134.004	50	0.52	-7.903089986991944
153384.396	50	0.525	-7.903089986991944
154241.704	50	0.53	-7.903089986991944
154483.972	50	0.535	-7.903089986991944
154891.285	50	0.54	-7.903089986991944
155351.162	50	0.545	-7.903089986991944
155631.929	50	0.55	-7.903089986991944
156043.458	50	0.555	-7.903089986991944
156889.889	50	0.56	-7.903089986991944
157068.421	50	0.565	-7.903089986991944
157789.086	50	0.57	-7.903089986991944
158062.302	50	0.575	-7.903089986991944
158408.371	50	0.58	-7.903089986991944
158601.645	50	0.585	-7.903089986991944
158889.186	50	0.59	-7.903089986991944
159175.993	50	0.595	-7.903089986991944
159719.533	50	0.6	-7.903089986991944
160200.693	50	0.605	-7.903089986991944
160477.315	50	0.61	-7.903089986991944
160979.719	50	0.615	-7.903089986991944
161389.391	50	0.62	-7.903089986991944
