S*_score	SNP_num	quantile	log(local_recomb_rate)
115353.333	25	0.5	-7.903089986991944
115946.907	25	0.505	-7.903089986991944
116492.81	25	0.51	-7.903089986991944
117597.752	25	0.515	-7.903089986991944
117953.28	25	0.52	-7.903089986991944
118596.909	25	0.525	-7.903089986991944
118831.594	25	0.53	-7.903089986991944
119293.08	25	0.535	-7.903089986991944
120543.64	25	0.54	-7.903089986991944
120985.899	25	0.545	-7.903089986991944
121312.4	25	0.55	-7.903089986991944
122061.178	25	0.555	-7.903089986991944
122708.914	25	0.56	-7.903089986991944
123266.658	25	0.565	-7.903089986991944
124063.695	25	0.57	-7.903089986991944
124666.5	25	0.575	-7.903089986991944
125094.4	25	0.58	-7.903089986991944
125444.8	25	0.585	-7.903089986991944
126205.133	25	0.59	-7.903089986991944
127093.6	25	0.595	-7.903089986991944
127736.667	25	0.6	-7.903089986991944
128176.35	25	0.605	-7.903089986991944
129154.427	25	0.61	-7.903089986991944
129778.711	25	0.615	-7.903089986991944
130182.453	25	0.62	-7.903089986991944
130682.857	25	0.625	-7.903089986991944
131540.291	25	0.63	-7.903089986991944
132055.1	25	0.635	-7.903089986991944
132537.324	25	0.64	-7.903089986991944
132684.1	25	0.645	-7.903089986991944
134089.97	25	0.65	-7.903089986991944
134512.379	25	0.655	-7.903089986991944
134951.6	25	0.66	-7.903089986991944
135737.1	25	0.665	-7.903089986991944
136408.0	25	0.67	-7.903089986991944
136813.786	25	0.675	-7.903089986991944
136915.027	25	0.68	-7.903089986991944
137190.691	25	0.685	-7.903089986991944
137690.0	25	0.69	-7.903089986991944
138799.867	25	0.695	-7.903089986991944
139686.5	25	0.7	-7.903089986991944
140569.7	25	0.705	-7.903089986991944
140850.8	25	0.71	-7.903089986991944
141119.432	25	0.715	-7.903089986991944
141296.911	25	0.72	-7.903089986991944
141842.0	25	0.725	-7.903089986991944
143378.242	25	0.73	-7.903089986991944
144005.2	25	0.735	-7.903089986991944
144513.467	25	0.74	-7.903089986991944
144799.96	25	0.745	-7.903089986991944
145441.75	25	0.75	-7.903089986991944
146000.2	25	0.755	-7.903089986991944
146965.44	25	0.76	-7.903089986991944
147427.433	25	0.765	-7.903089986991944
147972.6	25	0.77	-7.903089986991944
148835.5	25	0.775	-7.903089986991944
149354.144	25	0.78	-7.903089986991944
150072.697	25	0.785	-7.903089986991944
150570.8	25	0.79	-7.903089986991944
151397.267	25	0.795	-7.903089986991944
152238.4	25	0.8	-7.903089986991944
152981.767	25	0.805	-7.903089986991944
154021.4	25	0.81	-7.903089986991944
154597.933	25	0.815	-7.903089986991944
155434.4	25	0.82	-7.903089986991944
156248.07	25	0.825	-7.903089986991944
156420.0	25	0.83	-7.903089986991944
156802.9	25	0.835	-7.903089986991944
157488.4	25	0.84	-7.903089986991944
159031.35	25	0.845	-7.903089986991944
159940.0	25	0.85	-7.903089986991944
160379.66	25	0.855	-7.903089986991944
160774.933	25	0.86	-7.903089986991944
160993.29	25	0.865	-7.903089986991944
161293.2	25	0.87	-7.903089986991944
161697.308	25	0.875	-7.903089986991944
162620.19	25	0.88	-7.903089986991944
163482.477	25	0.885	-7.903089986991944
164434.133	25	0.89	-7.903089986991944
165080.956	25	0.895	-7.903089986991944
165688.8	25	0.9	-7.903089986991944
166478.4	25	0.905	-7.903089986991944
167842.0	25	0.91	-7.903089986991944
170258.236	25	0.915	-7.903089986991944
171040.2	25	0.92	-7.903089986991944
171930.042	25	0.925	-7.903089986991944
174177.2	25	0.93	-7.903089986991944
175477.9	25	0.935	-7.903089986991944
177017.6	25	0.94	-7.903089986991944
178200.065	25	0.945	-7.903089986991944
178749.433	25	0.95	-7.903089986991944
181712.689	25	0.955	-7.903089986991944
183875.2	25	0.96	-7.903089986991944
185858.186	25	0.965	-7.903089986991944
186676.4	25	0.97	-7.903089986991944
189878.0	25	0.975	-7.903089986991944
193643.265	25	0.98	-7.903089986991944
201337.508	25	0.985	-7.903089986991944
205815.2	25	0.99	-7.903089986991944
207507.15	25	0.995	-7.903089986991944
129073.333	50	0.5	-7.903089986991944
129540.88	50	0.505	-7.903089986991944
129893.083	50	0.51	-7.903089986991944
130578.24	50	0.515	-7.903089986991944
131048.533	50	0.52	-7.903089986991944
131505.127	50	0.525	-7.903089986991944
131688.667	50	0.53	-7.903089986991944
132877.052	50	0.535	-7.903089986991944
133190.462	50	0.54	-7.903089986991944
133403.767	50	0.545	-7.903089986991944
133774.917	50	0.55	-7.903089986991944
134185.466	50	0.555	-7.903089986991944
135212.328	50	0.56	-7.903089986991944
135578.413	50	0.565	-7.903089986991944
136047.18	50	0.57	-7.903089986991944
136832.007	50	0.575	-7.903089986991944
137658.134	50	0.58	-7.903089986991944
138031.898	50	0.585	-7.903089986991944
138248.375	50	0.59	-7.903089986991944
138652.761	50	0.595	-7.903089986991944
139257.714	50	0.6	-7.903089986991944
140017.163	50	0.605	-7.903089986991944
140477.067	50	0.61	-7.903089986991944
140716.25	50	0.615	-7.903089986991944
141054.642	50	0.62	-7.903089986991944
