S*_score	SNP_num	quantile	log(local_recomb_rate)
112455.0	25	0.5	-7.903089986991944
113028.4	25	0.505	-7.903089986991944
115797.59	25	0.51	-7.903089986991944
116011.132	25	0.515	-7.903089986991944
116244.533	25	0.52	-7.903089986991944
116822.5	25	0.525	-7.903089986991944
117821.6	25	0.53	-7.903089986991944
118393.1	25	0.535	-7.903089986991944
118627.86	25	0.54	-7.903089986991944
119236.0	25	0.545	-7.903089986991944
119645.99	25	0.55	-7.903089986991944
119696.2	25	0.555	-7.903089986991944
119917.6	25	0.56	-7.903089986991944
120244.533	25	0.565	-7.903089986991944
120925.267	25	0.57	-7.903089986991944
121636.75	25	0.575	-7.903089986991944
123955.0	25	0.58	-7.903089986991944
125465.245	25	0.585	-7.903089986991944
126763.65	25	0.59	-7.903089986991944
127031.961	25	0.595	-7.903089986991944
128052.1	25	0.6	-7.903089986991944
128916.6	25	0.605	-7.903089986991944
129688.0	25	0.61	-7.903089986991944
129793.3	25	0.615	-7.903089986991944
130740.4	25	0.62	-7.903089986991944
130895.0	25	0.625	-7.903089986991944
131237.53	25	0.63	-7.903089986991944
131955.882	25	0.635	-7.903089986991944
132893.6	25	0.64	-7.903089986991944
133112.85	25	0.645	-7.903089986991944
133429.15	25	0.65	-7.903089986991944
133533.015	25	0.655	-7.903089986991944
133632.16	25	0.66	-7.903089986991944
133702.35	25	0.665	-7.903089986991944
134680.5	25	0.67	-7.903089986991944
135888.0	25	0.675	-7.903089986991944
136298.2	25	0.68	-7.903089986991944
136367.225	25	0.685	-7.903089986991944
136921.2	25	0.69	-7.903089986991944
137565.68	25	0.695	-7.903089986991944
139119.2	25	0.7	-7.903089986991944
139560.733	25	0.705	-7.903089986991944
139596.567	25	0.71	-7.903089986991944
139913.05	25	0.715	-7.903089986991944
140335.333	25	0.72	-7.903089986991944
140861.25	25	0.725	-7.903089986991944
140989.8	25	0.73	-7.903089986991944
141171.85	25	0.735	-7.903089986991944
141558.0	25	0.74	-7.903089986991944
141933.7	25	0.745	-7.903089986991944
142465.125	25	0.75	-7.903089986991944
143221.533	25	0.755	-7.903089986991944
144522.68	25	0.76	-7.903089986991944
145097.8	25	0.765	-7.903089986991944
145253.7	25	0.77	-7.903089986991944
146039.158	25	0.775	-7.903089986991944
146902.327	25	0.78	-7.903089986991944
148836.7	25	0.785	-7.903089986991944
149585.4	25	0.79	-7.903089986991944
149688.95	25	0.795	-7.903089986991944
149838.0	25	0.8	-7.903089986991944
150286.8	25	0.805	-7.903089986991944
150872.2	25	0.81	-7.903089986991944
151447.1	25	0.815	-7.903089986991944
151629.58	25	0.82	-7.903089986991944
151787.075	25	0.825	-7.903089986991944
152456.67	25	0.83	-7.903089986991944
153120.715	25	0.835	-7.903089986991944
154271.543	25	0.84	-7.903089986991944
155715.9	25	0.845	-7.903089986991944
156121.0	25	0.85	-7.903089986991944
157201.7	25	0.855	-7.903089986991944
157921.6	25	0.86	-7.903089986991944
158282.133	25	0.865	-7.903089986991944
159304.067	25	0.87	-7.903089986991944
161307.5	25	0.875	-7.903089986991944
162614.4	25	0.88	-7.903089986991944
162810.1	25	0.885	-7.903089986991944
164255.99	25	0.89	-7.903089986991944
165356.455	25	0.895	-7.903089986991944
165756.0	25	0.9	-7.903089986991944
168725.1	25	0.905	-7.903089986991944
168948.01	25	0.91	-7.903089986991944
169195.835	25	0.915	-7.903089986991944
173027.2	25	0.92	-7.903089986991944
174233.5	25	0.925	-7.903089986991944
174786.97	25	0.93	-7.903089986991944
175565.2	25	0.935	-7.903089986991944
177748.133	25	0.94	-7.903089986991944
178396.805	25	0.945	-7.903089986991944
179842.0	25	0.95	-7.903089986991944
182602.55	25	0.955	-7.903089986991944
183639.2	25	0.96	-7.903089986991944
185751.9	25	0.965	-7.903089986991944
186599.2	25	0.97	-7.903089986991944
188061.5	25	0.975	-7.903089986991944
188503.2	25	0.98	-7.903089986991944
189847.7	25	0.985	-7.903089986991944
193490.7	25	0.99	-7.903089986991944
197758.5	25	0.995	-7.903089986991944
115460.0	50	0.5	-7.903089986991944
116631.04	50	0.505	-7.903089986991944
117482.424	50	0.51	-7.903089986991944
118186.0	50	0.515	-7.903089986991944
118738.608	50	0.52	-7.903089986991944
119944.0	50	0.525	-7.903089986991944
120356.0	50	0.53	-7.903089986991944
120793.6	50	0.535	-7.903089986991944
121717.733	50	0.54	-7.903089986991944
122048.587	50	0.545	-7.903089986991944
122242.88	50	0.55	-7.903089986991944
122607.52	50	0.555	-7.903089986991944
123611.55	50	0.56	-7.903089986991944
124181.6	50	0.565	-7.903089986991944
125343.296	50	0.57	-7.903089986991944
125648.857	50	0.575	-7.903089986991944
125951.6	50	0.58	-7.903089986991944
126439.067	50	0.585	-7.903089986991944
127201.84	50	0.59	-7.903089986991944
127833.067	50	0.595	-7.903089986991944
128133.333	50	0.6	-7.903089986991944
128598.756	50	0.605	-7.903089986991944
129155.733	50	0.61	-7.903089986991944
129536.0	50	0.615	-7.903089986991944
130039.88	50	0.62	-7.903089986991944
130220.0	50	0.625	-7.903089986991944
130948.8	50	0.63	-7.903089986991944
131720.8	50	0.635	-7.903089986991944
132162.72	50	0.64	-7.903089986991944
132589.6	50	0.645	-7.903089986991944
132896.0	50	0.65	-7.903089986991944
133372.533	50	0.655	-7.903089986991944
133742.72	50	0.66	-7.903089986991944
134550.8	50	0.665	-7.903089986991944
135168.267	50	0.67	-7.903089986991944
