S*_score	SNP_num	quantile	log(local_recomb_rate)
123560.0	25	0.5	-7.903089986991944
123785.45	25	0.505	-7.903089986991944
124750.15	25	0.51	-7.903089986991944
124983.455	25	0.515	-7.903089986991944
125303.2	25	0.52	-7.903089986991944
125526.25	25	0.525	-7.903089986991944
125709.455	25	0.53	-7.903089986991944
126002.025	25	0.535	-7.903089986991944
126273.956	25	0.54	-7.903089986991944
126557.028	25	0.545	-7.903089986991944
127029.0	25	0.55	-7.903089986991944
127204.35	25	0.555	-7.903089986991944
127762.0	25	0.56	-7.903089986991944
128389.583	25	0.565	-7.903089986991944
128624.307	25	0.57	-7.903089986991944
128807.5	25	0.575	-7.903089986991944
128989.778	25	0.58	-7.903089986991944
129093.0	25	0.585	-7.903089986991944
129413.35	25	0.59	-7.903089986991944
130101.213	25	0.595	-7.903089986991944
130374.545	25	0.6	-7.903089986991944
131124.525	25	0.605	-7.903089986991944
131828.922	25	0.61	-7.903089986991944
131985.562	25	0.615	-7.903089986991944
132406.667	25	0.62	-7.903089986991944
132816.25	25	0.625	-7.903089986991944
133082.667	25	0.63	-7.903089986991944
133656.005	25	0.635	-7.903089986991944
134059.508	25	0.64	-7.903089986991944
134392.317	25	0.645	-7.903089986991944
135055.0	25	0.65	-7.903089986991944
135678.967	25	0.655	-7.903089986991944
136232.0	25	0.66	-7.903089986991944
137298.538	25	0.665	-7.903089986991944
137989.859	25	0.67	-7.903089986991944
138950.725	25	0.675	-7.903089986991944
139412.567	25	0.68	-7.903089986991944
140017.6	25	0.685	-7.903089986991944
140938.0	25	0.69	-7.903089986991944
141726.286	25	0.695	-7.903089986991944
142151.429	25	0.7	-7.903089986991944
143015.0	25	0.705	-7.903089986991944
143477.033	25	0.71	-7.903089986991944
144691.823	25	0.715	-7.903089986991944
145792.457	25	0.72	-7.903089986991944
146473.125	25	0.725	-7.903089986991944
146769.162	25	0.73	-7.903089986991944
147181.807	25	0.735	-7.903089986991944
147753.781	25	0.74	-7.903089986991944
148406.083	25	0.745	-7.903089986991944
148642.929	25	0.75	-7.903089986991944
149218.246	25	0.755	-7.903089986991944
149448.65	25	0.76	-7.903089986991944
149856.1	25	0.765	-7.903089986991944
150389.43	25	0.77	-7.903089986991944
151197.381	25	0.775	-7.903089986991944
151544.8	25	0.78	-7.903089986991944
152459.542	25	0.785	-7.903089986991944
152991.455	25	0.79	-7.903089986991944
153577.641	25	0.795	-7.903089986991944
154274.286	25	0.8	-7.903089986991944
154727.5	25	0.805	-7.903089986991944
155721.593	25	0.81	-7.903089986991944
156527.284	25	0.815	-7.903089986991944
156966.725	25	0.82	-7.903089986991944
157600.0	25	0.825	-7.903089986991944
159329.446	25	0.83	-7.903089986991944
159953.354	25	0.835	-7.903089986991944
161474.293	25	0.84	-7.903089986991944
162399.839	25	0.845	-7.903089986991944
162704.722	25	0.85	-7.903089986991944
163921.032	25	0.855	-7.903089986991944
164480.251	25	0.86	-7.903089986991944
165166.1	25	0.865	-7.903089986991944
166012.4	25	0.87	-7.903089986991944
167952.0	25	0.875	-7.903089986991944
168307.209	25	0.88	-7.903089986991944
169333.917	25	0.885	-7.903089986991944
170896.143	25	0.89	-7.903089986991944
171422.571	25	0.895	-7.903089986991944
172861.0	25	0.9	-7.903089986991944
174218.974	25	0.905	-7.903089986991944
175013.053	25	0.91	-7.903089986991944
176142.194	25	0.915	-7.903089986991944
177793.026	25	0.92	-7.903089986991944
178746.905	25	0.925	-7.903089986991944
180760.5	25	0.93	-7.903089986991944
182269.021	25	0.935	-7.903089986991944
183489.471	25	0.94	-7.903089986991944
183943.718	25	0.945	-7.903089986991944
185807.839	25	0.95	-7.903089986991944
188390.0	25	0.955	-7.903089986991944
190093.714	25	0.96	-7.903089986991944
193771.857	25	0.965	-7.903089986991944
196955.562	25	0.97	-7.903089986991944
199580.556	25	0.975	-7.903089986991944
202600.727	25	0.98	-7.903089986991944
204718.0	25	0.985	-7.903089986991944
218100.095	25	0.99	-7.903089986991944
235943.0	25	0.995	-7.903089986991944
147894.455	50	0.5	-7.903089986991944
148457.321	50	0.505	-7.903089986991944
148765.22	50	0.51	-7.903089986991944
