S*_score	SNP_num	quantile	log(local_recomb_rate)
128035.944	25	0.5	-7.903089986991944
128348.522	25	0.505	-7.903089986991944
128667.071	25	0.51	-7.903089986991944
129159.3	25	0.515	-7.903089986991944
129668.663	25	0.52	-7.903089986991944
129933.846	25	0.525	-7.903089986991944
130301.104	25	0.53	-7.903089986991944
130608.35	25	0.535	-7.903089986991944
130747.0	25	0.54	-7.903089986991944
131423.296	25	0.545	-7.903089986991944
131784.867	25	0.55	-7.903089986991944
132221.719	25	0.555	-7.903089986991944
132770.909	25	0.56	-7.903089986991944
132955.452	25	0.565	-7.903089986991944
133343.367	25	0.57	-7.903089986991944
133637.125	25	0.575	-7.903089986991944
133744.3	25	0.58	-7.903089986991944
134495.173	25	0.585	-7.903089986991944
135454.49	25	0.59	-7.903089986991944
135813.409	25	0.595	-7.903089986991944
136220.25	25	0.6	-7.903089986991944
136754.633	25	0.605	-7.903089986991944
137306.244	25	0.61	-7.903089986991944
137536.075	25	0.615	-7.903089986991944
137832.683	25	0.62	-7.903089986991944
138131.188	25	0.625	-7.903089986991944
138610.37	25	0.63	-7.903089986991944
138893.154	25	0.635	-7.903089986991944
139155.571	25	0.64	-7.903089986991944
139488.75	25	0.645	-7.903089986991944
139823.635	25	0.65	-7.903089986991944
140075.343	25	0.655	-7.903089986991944
140262.618	25	0.66	-7.903089986991944
140567.15	25	0.665	-7.903089986991944
141027.333	25	0.67	-7.903089986991944
141466.458	25	0.675	-7.903089986991944
141770.5	25	0.68	-7.903089986991944
142289.315	25	0.685	-7.903089986991944
142605.2	25	0.69	-7.903089986991944
143089.374	25	0.695	-7.903089986991944
143285.25	25	0.7	-7.903089986991944
143760.998	25	0.705	-7.903089986991944
144035.0	25	0.71	-7.903089986991944
144181.354	25	0.715	-7.903089986991944
144449.371	25	0.72	-7.903089986991944
145280.506	25	0.725	-7.903089986991944
145819.575	25	0.73	-7.903089986991944
146102.458	25	0.735	-7.903089986991944
146425.167	25	0.74	-7.903089986991944
146857.488	25	0.745	-7.903089986991944
147174.0	25	0.75	-7.903089986991944
147782.3	25	0.755	-7.903089986991944
148466.044	25	0.76	-7.903089986991944
148858.038	25	0.765	-7.903089986991944
149275.417	25	0.77	-7.903089986991944
149550.25	25	0.775	-7.903089986991944
149849.022	25	0.78	-7.903089986991944
150863.528	25	0.785	-7.903089986991944
151764.0	25	0.79	-7.903089986991944
152007.438	25	0.795	-7.903089986991944
152440.0	25	0.8	-7.903089986991944
153110.455	25	0.805	-7.903089986991944
153372.867	25	0.81	-7.903089986991944
153854.672	25	0.815	-7.903089986991944
154241.592	25	0.82	-7.903089986991944
154631.813	25	0.825	-7.903089986991944
154996.079	25	0.83	-7.903089986991944
155814.75	25	0.835	-7.903089986991944
156354.35	25	0.84	-7.903089986991944
156869.125	25	0.845	-7.903089986991944
157701.538	25	0.85	-7.903089986991944
158360.71	25	0.855	-7.903089986991944
158893.8	25	0.86	-7.903089986991944
159582.145	25	0.865	-7.903089986991944
160410.108	25	0.87	-7.903089986991944
160830.833	25	0.875	-7.903089986991944
161438.057	25	0.88	-7.903089986991944
161769.326	25	0.885	-7.903089986991944
162253.125	25	0.89	-7.903089986991944
163691.377	25	0.895	-7.903089986991944
164960.682	25	0.9	-7.903089986991944
166616.15	25	0.905	-7.903089986991944
167491.963	25	0.91	-7.903089986991944
168065.536	25	0.915	-7.903089986991944
169077.995	25	0.92	-7.903089986991944
169986.845	25	0.925	-7.903089986991944
170591.0	25	0.93	-7.903089986991944
171241.97	25	0.935	-7.903089986991944
171916.0	25	0.94	-7.903089986991944
174159.507	25	0.945	-7.903089986991944
175608.929	25	0.95	-7.903089986991944
177571.521	25	0.955	-7.903089986991944
178767.429	25	0.96	-7.903089986991944
182146.03	25	0.965	-7.903089986991944
183812.833	25	0.97	-7.903089986991944
185505.179	25	0.975	-7.903089986991944
188011.0	25	0.98	-7.903089986991944
192508.121	25	0.985	-7.903089986991944
196646.375	25	0.99	-7.903089986991944
206121.226	25	0.995	-7.903089986991944
161458.571	50	0.5	-7.903089986991944
161709.669	50	0.505	-7.903089986991944
161848.63	50	0.51	-7.903089986991944
162121.449	50	0.515	-7.903089986991944
162625.514	50	0.52	-7.903089986991944
162761.333	50	0.525	-7.903089986991944
163014.312	50	0.53	-7.903089986991944
163293.986	50	0.535	-7.903089986991944
163747.619	50	0.54	-7.903089986991944
163922.391	50	0.545	-7.903089986991944
164155.0	50	0.55	-7.903089986991944
164624.364	50	0.555	-7.903089986991944
165098.959	50	0.56	-7.903089986991944
165306.879	50	0.565	-7.903089986991944
165532.958	50	0.57	-7.903089986991944
165689.929	50	0.575	-7.903089986991944
165915.07	50	0.58	-7.903089986991944
166157.5	50	0.585	-7.903089986991944
166413.858	50	0.59	-7.903089986991944
166693.652	50	0.595	-7.903089986991944
166982.182	50	0.6	-7.903089986991944
167397.549	50	0.605	-7.903089986991944
167596.961	50	0.61	-7.903089986991944
167924.471	50	0.615	-7.903089986991944
168121.125	50	0.62	-7.903089986991944
168561.67	50	0.625	-7.903089986991944
168792.013	50	0.63	-7.903089986991944
169108.993	50	0.635	-7.903089986991944
169292.974	50	0.64	-7.903089986991944
169636.985	50	0.645	-7.903089986991944
169819.1	50	0.65	-7.903089986991944
170303.707	50	0.655	-7.903089986991944
170534.69	50	0.66	-7.903089986991944
170828.232	50	0.665	-7.903089986991944
171353.319	50	0.67	-7.903089986991944
171956.996	50	0.675	-7.903089986991944
172335.086	50	0.68	-7.903089986991944
172744.74	50	0.685	-7.903089986991944
173330.856	50	0.69	-7.903089986991944
173780.972	50	0.695	-7.903089986991944
