S*_score	SNP_num	quantile	log(local_recomb_rate)
114620.0	25	0.5	-7.903089986991944
114915.2	25	0.505	-7.903089986991944
115001.067	25	0.51	-7.903089986991944
115110.4	25	0.515	-7.903089986991944
115381.6	25	0.52	-7.903089986991944
116132.0	25	0.525	-7.903089986991944
116679.2	25	0.53	-7.903089986991944
117422.2	25	0.535	-7.903089986991944
117911.2	25	0.54	-7.903089986991944
118237.6	25	0.545	-7.903089986991944
118980.0	25	0.55	-7.903089986991944
120580.8	25	0.555	-7.903089986991944
121325.99	25	0.56	-7.903089986991944
121469.27	25	0.565	-7.903089986991944
121979.62	25	0.57	-7.903089986991944
122092.0	25	0.575	-7.903089986991944
122323.2	25	0.58	-7.903089986991944
123065.6	25	0.585	-7.903089986991944
124139.2	25	0.59	-7.903089986991944
124591.2	25	0.595	-7.903089986991944
125009.333	25	0.6	-7.903089986991944
125350.667	25	0.605	-7.903089986991944
125880.0	25	0.61	-7.903089986991944
126200.8	25	0.615	-7.903089986991944
126371.813	25	0.62	-7.903089986991944
127333.333	25	0.625	-7.903089986991944
129320.0	25	0.63	-7.903089986991944
131020.8	25	0.635	-7.903089986991944
131460.8	25	0.64	-7.903089986991944
132160.653	25	0.645	-7.903089986991944
132921.0	25	0.65	-7.903089986991944
133273.48	25	0.655	-7.903089986991944
133720.0	25	0.66	-7.903089986991944
134814.92	25	0.665	-7.903089986991944
136169.0	25	0.67	-7.903089986991944
137113.933	25	0.675	-7.903089986991944
137389.76	25	0.68	-7.903089986991944
137641.88	25	0.685	-7.903089986991944
137825.069	25	0.69	-7.903089986991944
138370.4	25	0.695	-7.903089986991944
138944.0	25	0.7	-7.903089986991944
140673.6	25	0.705	-7.903089986991944
141230.88	25	0.71	-7.903089986991944
142551.369	25	0.715	-7.903089986991944
144217.6	25	0.72	-7.903089986991944
145450.667	25	0.725	-7.903089986991944
145637.6	25	0.73	-7.903089986991944
146377.6	25	0.735	-7.903089986991944
146779.2	25	0.74	-7.903089986991944
147628.8	25	0.745	-7.903089986991944
147880.0	25	0.75	-7.903089986991944
149263.907	25	0.755	-7.903089986991944
149633.72	25	0.76	-7.903089986991944
149846.88	25	0.765	-7.903089986991944
150222.4	25	0.77	-7.903089986991944
150340.1	25	0.775	-7.903089986991944
151008.98	25	0.78	-7.903089986991944
151441.6	25	0.785	-7.903089986991944
151636.8	25	0.79	-7.903089986991944
152593.6	25	0.795	-7.903089986991944
153664.0	25	0.8	-7.903089986991944
153884.32	25	0.805	-7.903089986991944
156373.6	25	0.81	-7.903089986991944
156608.8	25	0.815	-7.903089986991944
157520.8	25	0.82	-7.903089986991944
158160.0	25	0.825	-7.903089986991944
158679.4	25	0.83	-7.903089986991944
159187.72	25	0.835	-7.903089986991944
160860.8	25	0.84	-7.903089986991944
161468.28	25	0.845	-7.903089986991944
162207.0	25	0.85	-7.903089986991944
164094.4	25	0.855	-7.903089986991944
164696.8	25	0.86	-7.903089986991944
164869.6	25	0.865	-7.903089986991944
166081.867	25	0.87	-7.903089986991944
166890.0	25	0.875	-7.903089986991944
167355.2	25	0.88	-7.903089986991944
167973.818	25	0.885	-7.903089986991944
168839.08	25	0.89	-7.903089986991944
169609.6	25	0.895	-7.903089986991944
170559.111	25	0.9	-7.903089986991944
171611.2	25	0.905	-7.903089986991944
175159.2	25	0.91	-7.903089986991944
176412.0	25	0.915	-7.903089986991944
177136.267	25	0.92	-7.903089986991944
180548.6	25	0.925	-7.903089986991944
181656.8	25	0.93	-7.903089986991944
182158.4	25	0.935	-7.903089986991944
182864.72	25	0.94	-7.903089986991944
