S*_score	SNP_num	quantile	log(local_recomb_rate)
147179.936	25	0.5	-7.903089986991944
147552.5	25	0.505	-7.903089986991944
147746.786	25	0.51	-7.903089986991944
148725.312	25	0.515	-7.903089986991944
149576.667	25	0.52	-7.903089986991944
149991.786	25	0.525	-7.903089986991944
150362.143	25	0.53	-7.903089986991944
151141.384	25	0.535	-7.903089986991944
151604.929	25	0.54	-7.903089986991944
151911.429	25	0.545	-7.903089986991944
152327.0	25	0.55	-7.903089986991944
153096.111	25	0.555	-7.903089986991944
153335.714	25	0.56	-7.903089986991944
153980.714	25	0.565	-7.903089986991944
154397.995	25	0.57	-7.903089986991944
154802.848	25	0.575	-7.903089986991944
155219.956	25	0.58	-7.903089986991944
155433.75	25	0.585	-7.903089986991944
156076.071	25	0.59	-7.903089986991944
156578.317	25	0.595	-7.903089986991944
156987.214	25	0.6	-7.903089986991944
157376.538	25	0.605	-7.903089986991944
158717.44	25	0.61	-7.903089986991944
159443.179	25	0.615	-7.903089986991944
159867.403	25	0.62	-7.903089986991944
160102.143	25	0.625	-7.903089986991944
160431.696	25	0.63	-7.903089986991944
161003.214	25	0.635	-7.903089986991944
161520.0	25	0.64	-7.903089986991944
161967.268	25	0.645	-7.903089986991944
162682.435	25	0.65	-7.903089986991944
163665.0	25	0.655	-7.903089986991944
164053.571	25	0.66	-7.903089986991944
164578.125	25	0.665	-7.903089986991944
165396.857	25	0.67	-7.903089986991944
165889.125	25	0.675	-7.903089986991944
166752.857	25	0.68	-7.903089986991944
167317.917	25	0.685	-7.903089986991944
168155.11	25	0.69	-7.903089986991944
169046.429	25	0.695	-7.903089986991944
169480.549	25	0.7	-7.903089986991944
170231.5	25	0.705	-7.903089986991944
170700.696	25	0.71	-7.903089986991944
171311.786	25	0.715	-7.903089986991944
171635.385	25	0.72	-7.903089986991944
171778.384	25	0.725	-7.903089986991944
172277.5	25	0.73	-7.903089986991944
172831.071	25	0.735	-7.903089986991944
173704.231	25	0.74	-7.903089986991944
174502.5	25	0.745	-7.903089986991944
174806.071	25	0.75	-7.903089986991944
175199.295	25	0.755	-7.903089986991944
175921.0	25	0.76	-7.903089986991944
176612.143	25	0.765	-7.903089986991944
177295.357	25	0.77	-7.903089986991944
177581.538	25	0.775	-7.903089986991944
177793.885	25	0.78	-7.903089986991944
178374.478	25	0.785	-7.903089986991944
179115.0	25	0.79	-7.903089986991944
179667.75	25	0.795	-7.903089986991944
180424.286	25	0.8	-7.903089986991944
181706.25	25	0.805	-7.903089986991944
182707.893	25	0.81	-7.903089986991944
183260.575	25	0.815	-7.903089986991944
183812.143	25	0.82	-7.903089986991944
184716.429	25	0.825	-7.903089986991944
185521.107	25	0.83	-7.903089986991944
186221.795	25	0.835	-7.903089986991944
187514.286	25	0.84	-7.903089986991944
188368.036	25	0.845	-7.903089986991944
188810.393	25	0.85	-7.903089986991944
189340.0	25	0.855	-7.903089986991944
190233.536	25	0.86	-7.903089986991944
191364.302	25	0.865	-7.903089986991944
192084.643	25	0.87	-7.903089986991944
192657.857	25	0.875	-7.903089986991944
193080.0	25	0.88	-7.903089986991944
194171.786	25	0.885	-7.903089986991944
195790.446	25	0.89	-7.903089986991944
196385.92	25	0.895	-7.903089986991944
196829.75	25	0.9	-7.903089986991944
197264.286	25	0.905	-7.903089986991944
198507.5	25	0.91	-7.903089986991944
199344.286	25	0.915	-7.903089986991944
199725.714	25	0.92	-7.903089986991944
201478.75	25	0.925	-7.903089986991944
202752.857	25	0.93	-7.903089986991944
203416.786	25	0.935	-7.903089986991944
205840.0	25	0.94	-7.903089986991944
208143.929	25	0.945	-7.903089986991944
208640.714	25	0.95	-7.903089986991944
209668.929	25	0.955	-7.903089986991944
211165.714	25	0.96	-7.903089986991944
212307.679	25	0.965	-7.903089986991944
214804.286	25	0.97	-7.903089986991944
216418.929	25	0.975	-7.903089986991944
217571.429	25	0.98	-7.903089986991944
220150.179	25	0.985	-7.903089986991944
223461.152	25	0.99	-7.903089986991944
229858.214	25	0.995	-7.903089986991944
197318.571	50	0.5	-7.903089986991944
197671.494	50	0.505	-7.903089986991944
198033.363	50	0.51	-7.903089986991944
198642.343	50	0.515	-7.903089986991944
198779.257	50	0.52	-7.903089986991944
199381.293	50	0.525	-7.903089986991944
199894.857	50	0.53	-7.903089986991944
200539.276	50	0.535	-7.903089986991944
200942.971	50	0.54	-7.903089986991944
201355.486	50	0.545	-7.903089986991944
202026.857	50	0.55	-7.903089986991944
202954.17	50	0.555	-7.903089986991944
203595.6	50	0.56	-7.903089986991944
204353.024	50	0.565	-7.903089986991944
204732.16	50	0.57	-7.903089986991944
205132.143	50	0.575	-7.903089986991944
205560.286	50	0.58	-7.903089986991944
206389.914	50	0.585	-7.903089986991944
206858.171	50	0.59	-7.903089986991944
207411.457	50	0.595	-7.903089986991944
208056.371	50	0.6	-7.903089986991944
208346.714	50	0.605	-7.903089986991944
208661.714	50	0.61	-7.903089986991944
209369.819	50	0.615	-7.903089986991944
209891.943	50	0.62	-7.903089986991944
210025.429	50	0.625	-7.903089986991944
210467.806	50	0.63	-7.903089986991944
210985.799	50	0.635	-7.903089986991944
211328.4	50	0.64	-7.903089986991944
211848.233	50	0.645	-7.903089986991944
212411.429	50	0.65	-7.903089986991944
213003.029	50	0.655	-7.903089986991944
213649.029	50	0.66	-7.903089986991944
214113.523	50	0.665	-7.903089986991944
214383.306	50	0.67	-7.903089986991944
214594.429	50	0.675	-7.903089986991944
214871.314	50	0.68	-7.903089986991944
215367.686	50	0.685	-7.903089986991944
215770.629	50	0.69	-7.903089986991944
216259.173	50	0.695	-7.903089986991944
216661.429	50	0.7	-7.903089986991944
217159.0	50	0.705	-7.903089986991944
217555.657	50	0.71	-7.903089986991944
217870.237	50	0.715	-7.903089986991944
218788.171	50	0.72	-7.903089986991944
219043.857	50	0.725	-7.903089986991944
219607.486	50	0.73	-7.903089986991944
220124.571	50	0.735	-7.903089986991944
